open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,symbol
2023-05-20,26880.26,27150.0,26825.11,27102.43,14434.54718,2023-05-20 23:59:59.999,389225653.7451669,481382,6769.94368,182562924.6341634,0,BTCUSDT
2023-05-21,27102.42,27277.55,26666.03,26747.78,21347.87279,2023-05-21 23:59:59.999,575213570.2794422,568937,9855.43959,265526847.3320675,0,BTCUSDT
2023-05-22,26747.78,27099.89,26538.21,26849.27,26458.83828,2023-05-22 23:59:59.999,709594996.7242744,717111,12639.67925,338982776.4596819,0,BTCUSDT
2023-05-23,26849.28,27495.83,26798.11,27219.61,38700.83858,2023-05-23 23:59:59.999,1054565781.6023751,816399,18966.20117,516737777.2652495,0,BTCUSDT
2023-05-24,27219.61,27219.61,26080.5,26329.01,54393.0657,2023-05-24 23:59:59.999,1442636235.4543552,1012767,26698.91191,707870181.8163438,0,BTCUSDT
2023-05-25,26329.0,26631.98,25871.89,26473.79,37435.44895,2023-05-25 23:59:59.999,984117789.7017612,753125,17773.08882,467287939.9395918,0,BTCUSDT
2023-05-26,26473.8,26932.16,26327.24,26705.92,35061.18713,2023-05-26 23:59:59.999,932817724.59401,655755,16507.37461,439209106.7446719,0,BTCUSDT
2023-05-27,26705.93,26895.0,26551.0,26854.27,15095.6867,2023-05-27 23:59:59.999,403337263.0344908,415694,7152.30076,191116596.7726723,0,BTCUSDT
2023-05-28,26854.28,28261.32,26764.36,28065.0,43916.00855,2023-05-28 23:59:59.999,1205762341.9704952,843861,23346.55866,640869473.6004443,0,BTCUSDT
2023-05-29,28065.01,28447.14,27524.6,27736.4,42385.41945,2023-05-29 23:59:59.999,1182678581.634669,805579,20199.85331,563722083.6591941,0,BTCUSDT
2023-05-30,27736.39,28038.59,27554.0,27694.4,32686.75371,2023-05-30 23:59:59.999,908653906.0072742,745633,15196.52438,422438614.8525725,0,BTCUSDT
2023-05-31,27694.39,27835.51,26839.01,27210.35,46588.80573,2023-05-31 23:59:59.999,1265952178.7798684,908537,21962.66824,596493723.439264,0,BTCUSDT
2023-06-01,27210.36,27350.0,26605.05,26817.93,39217.8088,2023-06-01 23:59:59.999,1055132509.8658342,814389,18620.69161,500960557.9227829,0,BTCUSDT
2023-06-02,26817.93,27300.0,26505.0,27242.59,36380.90269,2023-06-02 23:59:59.999,983857061.6408418,811087,18134.67738,490485191.7880676,0,BTCUSDT
2023-06-03,27242.59,27333.29,26914.93,27069.22,16595.34117,2023-06-03 23:59:59.999,450588672.4704081,466520,7745.7868,210327639.5610825,0,BTCUSDT
2023-06-04,27069.22,27455.02,26951.0,27115.21,19258.41049,2023-06-04 23:59:59.999,523747237.4389696,504474,9511.72432,258699846.4758803,0,BTCUSDT
2023-06-05,27115.2,27129.33,25388.0,25728.2,65805.60305,2023-06-05 23:59:59.999,1722665798.0920303,1420829,30583.35138,799867474.2125897,0,BTCUSDT
2023-06-06,25728.2,27355.33,25351.02,27230.08,68392.60438,2023-06-06 23:59:59.999,1797636024.0812125,1345725,35083.7879,922716234.2100114,0,BTCUSDT
2023-06-07,27230.07,27391.77,26125.01,26339.34,59619.44364,2023-06-07 23:59:59.999,1589291467.5372329,1311928,28095.50924,749083400.1203892,0,BTCUSDT
2023-06-08,26339.34,26810.0,26210.0,26498.61,31075.51083,2023-06-08 23:59:59.999,823023638.236875,848252,14614.60741,387105933.4399799,0,BTCUSDT
2023-06-09,26498.62,26783.33,26269.91,26477.81,27934.7097,2023-06-09 23:59:59.999,741158215.0539023,746911,12757.07361,338454644.8956143,0,BTCUSDT
